epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6944895931674392,0.5059942455242967,0.4892149781316117,0.693083446501466,0.5046355498721228,0.48968164645500245
2,0.6918711240791604,0.5247762148337596,0.5080978210844121,0.6912849481453371,0.5260150255754475,0.504182840839631
3,0.6930557354484372,0.555306905370844,0.5380546566411526,0.6812939893101793,0.5739290281329923,0.5228591870596487
4,0.6552395970391496,0.653332800511509,0.636009997242432,0.6785814721718468,0.6673992966751918,0.6378334253928047
5,0.6080136224818047,0.7087595907928389,0.6969923880391262,0.5709901322870303,0.7290601023017903,0.7157309287975173
