epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6967037019827177,0.5077125959079284,0.4920372385253768,0.6904352840865055,0.5288123401534527,0.5191793352873076
2,0.6898460715170711,0.535525895140665,0.515532702499509,0.6817369952683558,0.5675351662404092,0.5511060905038346
3,0.6896820990630733,0.5345668158567775,0.4964697355306382,0.6929090725796302,0.5042359335038363,0.3437865234479739
4,0.6923395780193836,0.5116288363171355,0.4750777368904105,0.681128814625923,0.5866767902813299,0.5760424689238622
5,0.6901776834064738,0.5340872762148338,0.5061295821025203,0.6919779936066064,0.5123481457800512,0.44590615157197
