epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6961103785983132,0.508431905370844,0.49227190113128033,0.6895707983647466,0.5350063938618926,0.5237415636823786
2,0.6857191336429332,0.5557065217391305,0.5345358238709711,0.6940413753090002,0.504275895140665,0.35700097936942604
3,0.6791861975741813,0.5726502557544757,0.5531457103305512,0.6591738406044748,0.6270780051150895,0.6165021268260239
4,0.6754667499028814,0.5863970588235294,0.5703936591724562,0.6859995071083078,0.5704523657289002,0.5456415713248005
5,0.6767438775895501,0.5794037723785166,0.5582946493140044,0.6922886056820755,0.5836796675191815,0.5666354289253217
