epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6951786535780143,0.5024776214833759,0.4809773650877039,0.6926662575863206,0.5131074168797954,0.4979341045151903
2,0.6928536103814459,0.5125479539641944,0.49321437738909457,0.6921948288255335,0.5163043478260869,0.4855418103730414
3,0.690660029802176,0.5289721867007673,0.5064370263367239,0.6898157335150882,0.5347666240409207,0.5242337594962169
4,0.6843168865079465,0.5661365089514067,0.5471802165366869,0.6514502168082825,0.6343909846547314,0.6184253307535484
5,0.6378160309608635,0.6516544117647058,0.6382597461118953,0.5876696098338613,0.6950527493606138,0.688010889727629
