epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.7001217391027514,0.5005195012787724,0.4699022070407349,0.694287497293004,0.4935262148337596,0.480122536859935
2,0.6983060385565014,0.49860134271099743,0.48966228961589786,0.6940529725283308,0.4946451406649616,0.4863022838372446
3,0.6967061081200915,0.5036764705882353,0.4952097209108947,0.6939186058233461,0.496403452685422,0.48494193584617346
4,0.6962534128247625,0.5067934782608695,0.49881973071502406,0.6938128313597511,0.49656329923273657,0.48564089692430457
5,0.695593060663594,0.5009990409207161,0.4922096574078539,0.6937358973123838,0.4959638746803069,0.48550806205426883
