epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6963714957237244,0.5136668797953964,0.49789454271513234,0.6878201257237389,0.5421994884910486,0.533066571669783
2,0.6866028842413822,0.5471946930946292,0.527613050318317,0.6709511890588209,0.5970268542199488,0.5888848547737464
3,0.6678673219497856,0.6017822890025576,0.581183161777057,0.6557900577097597,0.6264785805626598,0.618122309475593
4,0.6576709060565286,0.6165281329923273,0.5975932275189958,0.6945676706026277,0.501358695652174,0.3344631537209168
5,0.6888688765370937,0.533048273657289,0.4931921676082652,0.7164952093378052,0.5322490409207161,0.41874475282974566
