epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6948685357942606,0.5183024296675192,0.4999860832924842,0.6822205653123539,0.5647378516624041,0.5527080661314004
2,0.6836563756551279,0.5617407289002557,0.5413528005111934,0.6697932032825392,0.6013826726342711,0.5919605474435965
3,0.6699748760294122,0.5995044757033248,0.5858932022205394,0.6549367720971022,0.6278372762148338,0.6199547223567089
4,0.658465182537313,0.6224024936061381,0.6109095818068391,0.6772498080645071,0.613531010230179,0.5721271570793653
5,0.6413375628573815,0.640744884910486,0.6266768158437815,0.6412776308443845,0.6407848465473146,0.6280609977809148
