epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6938788102715826,0.49648337595907927,0.4639262154267926,0.6935603489046511,0.5004395780051151,0.3887571521519723
2,0.6939035723428897,0.49592391304347827,0.4722400490960189,0.6934842602218814,0.5002397698209718,0.418258380652099
3,0.6936135734133708,0.5002797314578005,0.481470894629798,0.6934303865408349,0.4992007672634271,0.4411833611003802
4,0.6935940419164155,0.4997202685421995,0.4843204417973537,0.6933919645636283,0.501238810741688,0.4598065849703662
5,0.6937177401521931,0.4958839514066496,0.48236257877159905,0.6933621550764879,0.4999200767263427,0.46896266931017666
