epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.7002861024930959,0.5018382352941176,0.4730655419206574,0.6938866497305654,0.4990808823529412,0.4877362652969897
2,0.6974318496254094,0.5027573529411765,0.4947234637641764,0.6937077550022194,0.4992407289002558,0.4909244728837085
3,0.6964567975162546,0.5027973145780051,0.49442633236693606,0.6936370891988125,0.5002397698209718,0.4893781674369417
4,0.6973538230294767,0.49868126598465473,0.4904186262556646,0.6935549959197373,0.5007992327365729,0.48988521782165706
5,0.6962789288719596,0.503596547314578,0.4958929914074219,0.6934816081200719,0.5020380434782609,0.49102251757289184
