epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6965430580136721,0.5067934782608695,0.49295207363931276,0.6917539751133346,0.5234574808184144,0.510066248114939
2,0.6904335893176096,0.5348065856777494,0.5026068910916751,0.6942886761234849,0.5027173913043478,0.33937571579181364
3,0.6907800682212996,0.528332800511509,0.49358365354500566,0.6900854496394887,0.53596547314578,0.435750081725896
4,0.6749228986785235,0.5877557544757033,0.5673181899230323,0.6948107336945546,0.5700927109974424,0.558929411378074
5,0.6656323182003577,0.6035805626598465,0.5883776495800742,0.6673279531166681,0.6106537723785166,0.5820510313226752
