epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6612419003568342,0.595548273657289,0.5670138314738801,0.6064699518177515,0.676031010230179,0.6628489539450014
2,0.5641637083590793,0.7116368286445013,0.7027134902037544,0.5567730151097793,0.7462036445012787,0.734850477273718
3,0.48609101017722695,0.7714593989769821,0.7641341491344662,0.5345466143982794,0.775175831202046,0.7686319861830698
4,0.4328357676792023,0.8035885549872123,0.7975656849165828,0.5096254461561628,0.7928388746803069,0.7852651981475594
5,0.3900792927235898,0.8257273017902813,0.8205725454340266,0.5318590571908542,0.8038283248081841,0.7983793086223041
