epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.684464145194539,0.5430386828644501,0.5102432466928027,0.6477041407238187,0.6275575447570333,0.6030558363860972
2,0.6127032620446456,0.6703564578005116,0.6581876798881744,0.604924621713131,0.7000079923273658,0.6881168005537407
3,0.5562671709167378,0.7212675831202046,0.7124936484023788,0.5858014649175622,0.7274616368286445,0.7202154342609615
4,0.5139963339509257,0.7504395780051151,0.7443780194904501,0.5591092343487398,0.742247442455243,0.7336725408543069
5,0.4755943688895086,0.7761748721227621,0.7701351869179307,0.5333215905653547,0.7523177749360613,0.7442298081567803
