epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6967037019827177,0.5077125959079284,0.4920372385253768,0.6904352840865055,0.5288123401534527,0.5191793352873076
2,0.6866916140631947,0.5527493606138107,0.52799048925317,0.6729629317208019,0.591951726342711,0.579185878089686
3,0.6810475323358764,0.5656969309462916,0.5323626657682733,0.6928888143176009,0.5113091432225064,0.47772656945288366
4,0.6846311446041098,0.550471547314578,0.5293122127446663,0.6906281277499235,0.5366847826086957,0.5276790658822386
5,0.6712474784125453,0.5865169437340153,0.5747362695450959,0.6844839207504106,0.5862771739130435,0.5392530905256618
