epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6782260461688956,0.565656969309463,0.5473194776796623,0.646355829618471,0.6303548593350383,0.6186193432799467
2,0.6283866950999135,0.6443014705882353,0.6326995859831221,0.6827741905932536,0.6255994245524297,0.5756266859586793
3,0.5867695796596425,0.6870204603580563,0.678129098683602,0.6171634757076688,0.683903452685422,0.6724471523207328
4,0.556560536479706,0.7134351023017903,0.7068595130205719,0.6513755425544041,0.6973705242966752,0.6894220255039667
5,0.5365289223316075,0.7269021739130435,0.7193869760191609,0.5771299615083143,0.7045236572890026,0.696545495432671
