epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.7048574545041985,0.49880115089514065,0.4827721522506032,0.697235590356695,0.49664322250639387,0.4699882031157794
2,0.7019896216099829,0.5011988491048593,0.4917242691266974,0.6958682777174293,0.49672314578005117,0.48254503406980703
3,0.7019105259414828,0.4938059462915601,0.4850153801826069,0.6951153975770906,0.4984015345268542,0.49001817120910923
4,0.698504335511371,0.5049152813299232,0.49658971890661613,0.6947204456914722,0.4991208439897698,0.49053088566255904
5,0.6984221279773566,0.49896099744245526,0.4906784314021506,0.6944304548413552,0.4982816496163683,0.4883649138015158
