epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6950452598312017,0.5021579283887468,0.4820115571881867,0.6927496060690916,0.5088714833759591,0.49453986890299223
2,0.6927276671390095,0.5146659207161125,0.49602331899524915,0.6921045617831637,0.5158248081841432,0.5048653644596401
3,0.6884669651613211,0.5389625959079284,0.5226332470384879,0.6811263737318766,0.5621803069053708,0.5470490362629674
4,0.6671500181603005,0.5976662404092071,0.5813190147412066,0.6249521242078308,0.6473385549872123,0.6358525278601743
5,0.6326358181512569,0.6478980179028133,0.6349666605043347,0.6144735479293881,0.670196611253197,0.6627477940844443
