epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6557366125800116,0.6055386828644501,0.5810130192113534,0.6341610354230837,0.6637228260869565,0.6375644727533093
2,0.5704740764920974,0.7012468030690537,0.6923379782999022,0.5463064824757369,0.72818094629156,0.721375450912157
3,0.5223622993206429,0.7396898976982097,0.7322409872687757,0.5299042383651904,0.7497202685421995,0.7427008205536524
4,0.48788251032304886,0.7623481457800512,0.7557797082631136,0.49617838400327946,0.757872442455243,0.7509627854775338
5,0.4560249755182839,0.7832880434782609,0.7771034306458368,0.5253695953265786,0.7627477621483376,0.7561910784717321
