epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6773038575868777,0.5635789641943734,0.5442992370998381,0.6454315745007352,0.6291160485933504,0.6051490843827376
2,0.6159399917058628,0.657608695652174,0.6470946477514091,0.5954369396504844,0.677829283887468,0.6636751864490454
3,0.5674963864828925,0.7039641943734015,0.6959164102446196,0.5827894778279088,0.6920156649616368,0.6842589270465682
4,0.5349438034969828,0.7309382992327366,0.7249042877626702,0.5978947279169736,0.7044037723785166,0.696936597216527
5,0.5095082794308967,0.7456441815856778,0.738660874140043,0.577848720828743,0.712116368286445,0.7053448610912127
