epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6975439753373871,0.5053548593350383,0.4911768761338252,0.6926847467642001,0.5096307544757033,0.5017626219652783
2,0.6920258645206461,0.5256953324808185,0.5073714113070251,0.6915980970768063,0.519900895140665,0.43594530955952265
3,0.6868443665144693,0.5514306265984654,0.5275811046118232,0.6764856595212542,0.5807624680306905,0.5710075761505061
4,0.6817038303141094,0.5599424552429667,0.5356523616361437,0.6869014172297915,0.5526294757033248,0.4723195239694727
5,0.6706805028726378,0.5928308823529411,0.5753435036273765,0.662764843238894,0.6134910485933504,0.6056495467246222
