epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6947229489341111,0.5032368925831202,0.48110258197526684,0.6928683475155355,0.5043158567774936,0.48396857324660447
2,0.6923104625986055,0.5216192455242967,0.5048310888660491,0.6921176527772108,0.5187420076726342,0.45448479401613495
3,0.6892930207502507,0.543278452685422,0.5273944100673966,0.6876143211751338,0.5439178388746803,0.5079079501686975
4,0.7027298295132035,0.535525895140665,0.5141636053630759,0.6915187998805814,0.5216592071611253,0.425925792634041
5,0.6810756276940446,0.5640185421994884,0.5363682753327148,0.6638136099061698,0.6004635549872123,0.5920848908118036
