epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6606596824915513,0.597906010230179,0.571338472531291,0.6704803048954595,0.6305946291560103,0.5871938817330032
2,0.590781196151548,0.6875799232736572,0.6755746332226465,0.5374992049258688,0.7272218670076727,0.7181045875069009
3,0.5437800481038935,0.726502557544757,0.7164898477705065,0.5082780122185302,0.7558743606138107,0.7492952089461304
4,0.49175498649820953,0.7664242327365729,0.7591231440620215,0.5048670166593683,0.7534367007672634,0.7423162276690428
5,0.44557065653907674,0.7929987212276215,0.7865041551736476,0.45563468243688576,0.801031010230179,0.7956133017918398
