epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6943244488190508,0.50943094629156,0.49151349439570724,0.6927509511370793,0.508991368286445,0.49987273881912564
2,0.6915931834284302,0.52653452685422,0.5118706053111792,0.6914100055499455,0.5229779411764706,0.5012036477384714
3,0.6880015217892045,0.5487931585677749,0.5333541101211572,0.6896402059918474,0.5300511508951407,0.4317314239570352
4,0.6777965245801775,0.5929108056265985,0.5697423075295964,0.6934059745134296,0.6112531969309463,0.5678850610495739
5,0.641697982159417,0.6452205882352942,0.622253820594617,0.604136175892847,0.7012867647058824,0.6890392826240683
