epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6932416686316585,0.5040361253196931,0.49460622839017354,0.6931620304999144,0.49896099744245526,0.4742650282079848
2,0.6933505655554555,0.5014386189258312,0.4918125108613175,0.6931357955383828,0.501238810741688,0.48513374759404576
3,0.6932026307143824,0.5031969309462916,0.4941136295943213,0.6931166777677853,0.50471547314578,0.4930326431796341
4,0.6935741581270457,0.49584398976982097,0.48830786143782995,0.6930980699141617,0.5051150895140665,0.49513873704889194
5,0.6934267473037895,0.5019181585677749,0.49387594358708403,0.6930816250536448,0.5061540920716112,0.4967844766691554
