epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6947414747741826,0.4998001918158568,0.4781421074226694,0.692881056643508,0.5124280690537084,0.5034315904372966
2,0.6929859892486612,0.5172634271099744,0.49753904455710163,0.6924004888595523,0.5145859974424553,0.5011906840587685
3,0.6919214739976332,0.5208999360613811,0.5046531021103421,0.6910583648992621,0.527093989769821,0.5080395321323556
4,0.6862084723037222,0.5617007672634271,0.5443261541328225,0.6649245486387512,0.5952685421994884,0.5364272229072005
5,0.6499929174666514,0.6390664961636828,0.6217359417589188,0.6036177543956606,0.6875399616368286,0.6801182361619523
