epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.681965139363428,0.5562260230179028,0.5237492314918951,0.6437073665125596,0.6526934143222506,0.6439127484039263
2,0.648866558356968,0.6282768542199488,0.6041852881778523,0.6412387433106942,0.6697570332480819,0.6513533592996097
3,0.5860659877205139,0.7003276854219949,0.6863513510686183,0.6026500250448656,0.7064817774936062,0.6855683967341043
4,0.4956472718807133,0.7680226982097187,0.7623516295587309,0.488599440878462,0.7727381713554987,0.7640507156413324
5,0.4398531073232746,0.8057464833759591,0.8000023743438778,0.48900351538072767,0.7788123401534527,0.7685941506678138
