epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6870664795646277,0.5487531969309463,0.5124166837589045,0.669285413706699,0.5993046675191815,0.568179115787815
2,0.6660325741371536,0.600383631713555,0.5749552555634172,0.6255022667710434,0.6699168797953964,0.6613791649819014
3,0.6153715485730744,0.6733535805626598,0.6593252932047743,0.5636251927031886,0.7189498081841432,0.712120837921258
4,0.5403083890600278,0.7360933503836317,0.7285125223894849,0.4977557635901834,0.764266304347826,0.7579414670778366
5,0.4746966483952749,0.7802909207161125,0.7733245906293121,0.4457658495935028,0.7961956521739131,0.7901722292932676
