epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6947229489341111,0.5032368925831202,0.48110258197526684,0.6928683475155355,0.5043158567774936,0.48396857324660447
2,0.6923104625986055,0.5216192455242967,0.5048310888660491,0.6921176527772108,0.5187420076726342,0.45448479401613495
3,0.7196287803180382,0.5459958439897699,0.5271474170535125,0.6886823457067884,0.5394820971867008,0.458313489645768
4,0.6818123135115485,0.6253196930946292,0.6065144132849563,0.6041832122656391,0.6890185421994884,0.6815996477277813
5,0.5967318206034657,0.712236253196931,0.7027121488746526,0.5399352024735697,0.7418478260869565,0.7342258475290752
