epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6937585425803728,0.49500479539641945,0.46157148109830853,0.6935741221508407,0.4981218030690537,0.3852160998327216
2,0.6936821660879627,0.49700287723785164,0.4745295708318512,0.6935034188468133,0.4970428388746803,0.4139098827557449
3,0.6937183628759116,0.4977621483375959,0.479334037564238,0.6934552120278253,0.4967631074168798,0.4378468044295356
4,0.6937059058862574,0.4958839514066496,0.48039976093731396,0.6934171301477096,0.49492487212276215,0.45342555789747957
5,0.6935461873136213,0.503156969309463,0.4910875687293004,0.6933888814333454,0.4956042199488491,0.46465688034456604
