epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6932204516647417,0.5054747442455243,0.49649304945911427,0.6932565886193834,0.49664322250639387,0.46528162287089664
2,0.6933132580021764,0.5015185421994884,0.49153379747816117,0.6932411565042823,0.49408567774936063,0.4719936356032126
3,0.6932030333125073,0.5022778132992327,0.49441822569883165,0.6932282827394393,0.4944453324808184,0.4785542627963162
4,0.6934315516515765,0.5004395780051151,0.49246605706640906,0.6932183421786179,0.4958839514066496,0.48216822465647413
5,0.6935316709148914,0.49904092071611256,0.4914976234373343,0.693209425567666,0.49656329923273657,0.4836673615125743
