epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6666076230575971,0.5842790920716112,0.5540744714261995,0.6109275495076119,0.660406010230179,0.6513787469556802
2,0.59792038382929,0.673113810741688,0.6643441524016696,0.5825027072292459,0.6899376598465473,0.681062541234545
3,0.550014455986145,0.7127157928388747,0.7049602687494898,0.5756909840399652,0.7038443094629157,0.6964559423513854
4,0.5157252918652562,0.7394900895140665,0.7324770711685288,0.5675287564544726,0.7099184782608695,0.7026415136266921
5,0.4879402974834832,0.7605099104859335,0.754158125121052,0.5748623920904706,0.7101582480818415,0.7026749729749153
