epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6928272431006517,0.5153053069053708,0.48184514420505736,0.6843053923391015,0.5575447570332481,0.5219252930815027
2,0.6512135171981723,0.6194053708439897,0.5971384307112086,0.610639353961591,0.6752317774936062,0.6544631060359211
3,0.576123811285514,0.7036445012787724,0.693635383836259,0.5806748493934226,0.7190696930946292,0.7092165441490137
4,0.5240686312127296,0.7444053708439897,0.7380797544206047,0.5306659253966778,0.7429267902813299,0.7355717259312113
5,0.48460997130407396,0.7683823529411765,0.7616234039768669,0.5488429480920667,0.7521978900255755,0.7456543609286128
