epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.7001217391027514,0.5005195012787724,0.4699022070407349,0.6942879619348384,0.49336636828644503,0.4799339794828495
2,0.6983061298689879,0.49860134271099743,0.48966228961589786,0.6940531623942773,0.49484494884910485,0.4865432338903179
3,0.6967063553040594,0.5038762787723785,0.4954045724555829,0.6939185581853627,0.4961636828644501,0.4847004352662541
4,0.6962534401117993,0.5067535166240409,0.49879849743086685,0.6938132847209111,0.496403452685422,0.48518505597776607
5,0.6955934043430612,0.5009590792838875,0.4921461685922062,0.6937361141604841,0.4963235294117647,0.4857777310490527
