epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6975439753373871,0.5053548593350383,0.4911768761338252,0.6926847467642001,0.5096307544757033,0.5017626219652783
2,0.6919028153047537,0.5274136828644501,0.5070798674002749,0.6911967626160673,0.5252157928388747,0.49377721708102834
3,0.6809114819140081,0.5693734015345269,0.5517669981177299,0.7003984417756806,0.5824408567774936,0.5482681327016468
4,0.6623501728867631,0.6144900895140665,0.5995757522843356,0.6845727655131494,0.564298273657289,0.5450017234807177
5,0.6532702931510214,0.6303548593350383,0.6154631508284814,0.6401615762878257,0.6548113810741688,0.6466400423937754
