epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.685527562332885,0.5494725063938619,0.5164399765706328,0.6466315570084945,0.6332320971867008,0.6244816302197891
2,0.6377986901251557,0.6445012787723785,0.6261959299813454,0.7089315832728316,0.6587675831202046,0.6392752072525086
3,0.5672748196689065,0.71875,0.7088734155384281,0.6270069577886016,0.6914162404092071,0.6643562159804299
4,0.5143356523702821,0.7575527493606138,0.7511428225702345,0.5235062632185724,0.7681026214833759,0.7616384998761931
5,0.4714767729001277,0.7861253196930946,0.779528308935344,0.5089383583296748,0.7827685421994884,0.7748817941266614
