epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6961103785983132,0.508431905370844,0.49227190113128033,0.6895251774879367,0.5346467391304348,0.5235790214026385
2,0.6892626512690884,0.5390824808184144,0.5157352889735557,0.6744106340286372,0.6064178388746803,0.5891023963186736
3,0.6836593299723037,0.5596627237851662,0.5356424588961715,0.693360407181713,0.5,0.33087717371028397
4,0.6783440822683027,0.5759271099744245,0.542202409084283,0.6921712202794107,0.5551470588235294,0.4703109476458109
5,0.6701410678417786,0.5924312659846548,0.5682878041814031,0.6756947489498216,0.5727701406649617,0.5620922632613862
