epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6784199077607421,0.5647778132992327,0.5417245149885216,0.6760731528482169,0.5971067774936062,0.5363823892345317
2,0.6170191392493065,0.665800831202046,0.6534639632324472,0.6198491451456724,0.6637627877237852,0.62924861267058
3,0.5631668974295296,0.712116368286445,0.7029530237859465,0.6552543200342856,0.6907768542199488,0.6679861902707643
4,0.5215601721002013,0.743486253196931,0.7367890641704719,0.5197419083446188,0.7499200767263428,0.743456508288791
5,0.4882853246482132,0.7679028132992327,0.7611651704760699,0.5011345761092117,0.7552749360613811,0.7483778095564975
