epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.678227497945966,0.565417199488491,0.5470791618369182,0.6463976915916214,0.6301550511508951,0.6183624715378653
2,0.6284111240483305,0.6443813938618926,0.632766049526374,0.6380222133739525,0.649616368286445,0.6193787012874472
3,0.5867395888813927,0.6869005754475703,0.6781582740567603,0.6098821636508492,0.6865808823529411,0.6767287990203246
4,0.5566677229712381,0.7117966751918159,0.7051888161886588,0.6376172984995501,0.7024456521739131,0.6950974670755043
5,0.5365954453073194,0.727861253196931,0.7203832402655531,0.5802843707906621,0.7047234654731458,0.6971017111669128
