epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6820886547455702,0.5573849104859335,0.5248190827112365,0.6684394005085806,0.6220028772378516,0.6044401954931916
2,0.6279633429349231,0.6625239769820972,0.6500881054687745,0.5842513052551338,0.7195891943734015,0.7122441457661892
3,0.5457356062615314,0.7402093989769821,0.7313140314842311,0.5261152660679025,0.7622682225063938,0.7553964052313727
4,0.4792396227264648,0.7821291560102301,0.7763747481645316,0.491392059513675,0.7856857416879796,0.779844732756234
5,0.4366295437907319,0.8051870204603581,0.7998528967813244,0.5096504298203132,0.7935182225063938,0.7876699799794735
