epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6655921052636393,0.5906329923273658,0.5683049115348551,0.6470244906823653,0.6314737851662404,0.5984748362234453
2,0.6051630913982611,0.6665601023017903,0.6579712166553469,0.5821909496317739,0.6806265984654731,0.6722209966864151
3,0.5665707862590585,0.7012068414322251,0.6930751376930689,0.5837710482994919,0.697170716112532,0.6899601716108126
4,0.5366207988518278,0.7231058184143222,0.7156125097520291,0.5605521131202084,0.7038443094629157,0.6963724342158902
5,0.5118295803399342,0.7452445652173914,0.7381667022406341,0.5723707194980758,0.7072410485933504,0.6998185485569658
