epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6949062544823913,0.5186221227621484,0.500524104590584,0.6867425874675936,0.5525495524296675,0.5109195018773747
2,0.6828513367249228,0.5687739769820972,0.549449154426069,0.6763408173380605,0.5865968670076727,0.557240388085398
3,0.6689826416999788,0.5981457800511509,0.5852439629056675,0.6612117996301188,0.6134910485933504,0.5930608933191497
4,0.6601097583770752,0.6168078644501279,0.6007003642802434,0.6902474605518839,0.6059782608695652,0.5628911862103281
5,0.6482647395194949,0.6333519820971867,0.6176802571631784,0.6753615641685398,0.5778852301790282,0.5637821432598784
