epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6773038575868777,0.5635789641943734,0.5442992370998381,0.6454315745007352,0.6291160485933504,0.6051490843827376
2,0.6160243126513708,0.6580083120204604,0.6476050856900238,0.5935279269657476,0.6777093989769821,0.6647877504998134
3,0.5676430934073066,0.7047234654731458,0.6966173936474243,0.5820584489256525,0.6924152813299232,0.6844080794542617
4,0.5350811173543906,0.7297794117647058,0.7237675512235898,0.5965822531896479,0.7046035805626598,0.6971601192487558
5,0.5097307649719746,0.7462036445012787,0.7391941412569084,0.5843831358663262,0.7107576726342711,0.7036674821768544
