epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.7054977859072673,0.5009990409207161,0.4847904105000337,0.6971796041406939,0.49872122762148335,0.4690308706409109
2,0.7020546617105489,0.4977621483375959,0.48818379207320967,0.6956697550728498,0.49728260869565216,0.4801405697938465
3,0.6994667795612989,0.5056745524296675,0.49657646692853363,0.6949367580358939,0.49720268542199486,0.48825187071930093
4,0.6998609906572211,0.5004395780051151,0.49331618841539426,0.6944766342639923,0.4985613810741688,0.4908021456906708
5,0.6981014017101443,0.5006393861892583,0.49300952328037734,0.6941743683632072,0.5018382352941176,0.4938859634567437
