epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6938358773203457,0.4952046035805627,0.4619864607833993,0.69361943745857,0.49484494884910485,0.38191851844437197
2,0.6935246298685098,0.5010789641943734,0.477551168645042,0.6935435440534216,0.49320652173913043,0.40997782671593835
3,0.6935144333583315,0.49944053708439895,0.4800791695385218,0.6934889107561477,0.4945652173913043,0.43692727590375724
4,0.6935079647299579,0.5018382352941176,0.48531666125241346,0.6934451122418084,0.4942455242966752,0.45487624423349454
5,0.6933247486648657,0.5018382352941176,0.48987943410818585,0.6934117557447584,0.4952445652173913,0.4655779612678587
