epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.662061575314273,0.5962675831202046,0.5669905903790988,0.6452773279698608,0.6745124680306905,0.6599092540064452
2,0.5665388905712406,0.704363810741688,0.6960022103783877,0.563677151032421,0.7217471227621484,0.7101000171290621
3,0.5106728195077013,0.7486013427109974,0.7414471497071319,0.5056495954999534,0.7521579283887468,0.7458100152955843
4,0.4704867036979827,0.7760949488491049,0.769677046636836,0.49788142702616084,0.7608296035805626,0.7541917118411714
5,0.4372544499385692,0.7947570332480819,0.7890379191432791,0.525266416599531,0.7653053069053708,0.7590927115447925
