epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.654872574236082,0.6054187979539642,0.5813253789340032,0.6319317903055255,0.6607257033248082,0.6328473948679987
2,0.5690259487580156,0.7022058823529411,0.6933487868741274,0.5496759080444761,0.7195891943734015,0.7115157112267487
3,0.5228192101582847,0.7401694373401535,0.7329952313019765,0.5426288218335118,0.745164641943734,0.7385371978132905
4,0.4874963412428146,0.7641464194373402,0.7578505103004858,0.4995395939635194,0.7576326726342711,0.7506944304403007
5,0.45504761672080934,0.7824488491048593,0.7763337109358946,0.5426236080467853,0.7623481457800512,0.7559525010225965
