epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.6656383599924005,0.5906729539641944,0.5682661187745502,0.6506808261432306,0.6290361253196931,0.5941649064182093
2,0.6051721996282373,0.665241368286445,0.6565529202198768,0.5846638344514096,0.6763507033248082,0.6666312496801671
3,0.5664481806480671,0.7030850383631714,0.6949368561888164,0.5827007093621642,0.6978500639386189,0.69067552896132
4,0.5365226463131283,0.7236253196930946,0.7161217761288814,0.5591634529097306,0.7037643861892583,0.6964759315073472
5,0.5118600130081177,0.743366368286445,0.7363340199778154,0.5736962783976894,0.7071611253196931,0.6995547201515243
