epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,0.7002821739982156,0.5018382352941176,0.47307578738464656,0.6938859555879822,0.4993606138107417,0.4880471345464231
2,0.6974307409942607,0.5027973145780051,0.49478299304514145,0.693708052110794,0.499320652173913,0.49106125932786565
3,0.6964566230469043,0.5026374680306905,0.49424914679430204,0.6936373273125085,0.5001998081841432,0.4893492956302203
4,0.69735389825938,0.49868126598465473,0.49038301833446374,0.6935556454731681,0.5008791560102301,0.4897610887984648
5,0.6962778985195452,0.5039961636828645,0.4962708440898009,0.6934819466927472,0.501798273657289,0.49073433631650326
